"","WT","S","E","I","R","M","N","g.avg"
"333",1124.9750278644,9,1,0,15,9,25,0.231323660468483
"334",1126.62227452471,9,0,0,16,9,25,0.231323660468483
"335",1130.69773169281,10,0,0,16,9,26,0.230945283357267
"336",1131.11936533194,10,0,0,16,8,26,0.230945283357267
"337",1131.12424873556,9,1,0,16,8,26,0.230945283357267
"338",1131.14747126631,10,1,0,15,8,26,0.230945283357267
"339",1132.73850911866,10,1,0,14,8,25,0.231323660468483
"340",1133.62426581727,10,1,0,14,7,25,0.231323660468483
"341",1134.38100945138,10,0,0,15,7,25,0.231323660468483
"342",1136.60134292874,10,0,0,15,6,25,0.231323660468483
"343",1139.95033622138,11,0,0,14,6,25,0.231323660468483
"344",1144.82638013437,10,1,0,14,6,25,0.231323660468483
"345",1146.02550554624,11,1,0,14,6,26,0.231527027394913
"346",1146.70972595882,11,0,0,15,6,26,0.231527027394913
"347",1147.92515610448,12,0,0,14,6,26,0.231527027394913
"348",1149.92879700978,12,0,0,14,5,26,0.231527027394913
"349",1157.24196039096,11,0,0,14,5,25,0.231928674267636
"350",1170.00753990925,10,1,0,14,5,25,0.231928674267636
"351",1171.10052571015,10,1,0,14,4,25,0.231928674267636
"352",1171.83565613294,11,1,0,14,4,26,0.23210877143256
"353",1172.00190301254,10,2,0,14,4,26,0.23210877143256
"354",1172.59133118058,10,1,1,14,4,26,0.23210877143256
"355",1172.77170859044,9,2,1,14,4,26,0.23210877143256
"356",1173.42488050794,9,2,0,14,5,25,0.233692422190609
"357",1174.61001929925,9,1,0,15,5,25,0.233692422190609
"358",1177.08906051749,9,1,0,15,4,25,0.233692422190609
"359",1177.46578990968,9,0,0,16,4,25,0.233692422190609
"360",1182.23841557201,8,1,0,16,4,25,0.233692422190609
"361",1182.3755473372,8,0,0,17,4,25,0.233692422190609
"362",1206.92247413206,8,0,0,17,3,25,0.233692422190609
"363",1209.18542105936,7,1,0,17,3,25,0.233692422190609
"364",1209.44993089116,7,0,1,17,3,25,0.233692422190609
"365",1211.37679997226,7,0,0,17,4,24,0.235494516943225
"366",1213.02977539963,6,1,0,17,4,24,0.235494516943225
"367",1213.5361975119,6,0,1,17,4,24,0.235494516943225
"368",1217.2902606447,5,1,1,17,4,24,0.235494516943225
"369",1217.57663539283,6,1,1,17,4,25,0.23493417048857
"370",1218.73202604257,6,0,1,18,4,25,0.23493417048857
"371",1225.79722534932,6,0,1,17,4,24,0.2367880047536
"372",1226.47541368071,6,0,0,17,5,23,0.236199430319923
"373",1227.91571247824,7,0,0,17,5,24,0.235586364705628
"374",1232.27671570157,8,0,0,16,5,24,0.235586364705628
"375",1239.01348004333,7,1,0,16,5,24,0.235586364705628
"376",1239.09582131409,6,2,0,16,5,24,0.235586364705628
"377",1239.73552881109,6,1,1,16,5,24,0.235586364705628
"378",1244.31099928052,6,1,0,16,6,23,0.235541806625192
"379",1244.33417713878,6,0,1,16,6,23,0.235541806625192
"380",1244.71131312883,6,0,1,16,5,23,0.235541806625192
"381",1244.72582566271,7,0,1,15,5,23,0.235541806625192
"382",1245.90327386173,7,0,0,15,6,22,0.235493197810171
"383",1248.78830588602,8,0,0,15,6,23,0.234884182930461
"384",1251.18134255315,7,1,0,15,6,23,0.234884182930461
"385",1253.3103486708,7,0,0,16,6,23,0.234884182930461
"386",1255.07807224858,8,0,0,15,6,23,0.234884182930461
"387",1276.48192032603,9,0,0,15,6,24,0.241429445032134
"388",1288.81074097915,8,1,0,15,6,24,0.241429445032134
"389",1288.84435188266,8,0,1,15,6,24,0.241429445032134
"390",1289.04712240542,8,0,0,15,7,23,0.242296557617147
"391",1289.32400239908,8,0,0,15,6,23,0.242296557617147
"392",1289.6629825321,7,1,0,15,6,23,0.242296557617147
"393",1289.86248530987,8,1,0,15,6,24,0.241429445032134
"394",1291.38719593625,8,0,0,16,6,24,0.241429445032134
"395",1295.11719556846,7,1,0,16,6,24,0.241429445032134
"396",1295.18399673276,7,0,1,16,6,24,0.241429445032134
"397",1297.11421906599,8,0,1,16,6,25,0.240631701453923
"398",1301.02791480349,8,0,0,16,7,24,0.241429445032134
"399",1317.16333388196,9,0,0,16,7,25,0.239472967330102
"400",1333.23098529265,8,0,0,16,7,24,0.241429445032134
"401",1344.85474208119,8,0,0,16,6,24,0.241429445032134
"402",1346.62929998324,9,0,0,16,6,25,0.247451086165673
"403",1354.16860656259,9,0,0,16,5,25,0.247451086165673
"404",1355.26346345907,10,0,0,16,5,26,0.246452423450719
"405",1359.72672394272,9,1,0,16,5,26,0.246452423450719
"406",1360.02678629077,9,0,0,17,5,26,0.246452423450719
"407",1361.20925989021,10,0,0,16,5,26,0.246452423450719
"408",1365.81862718125,10,0,0,16,4,26,0.246452423450719
"409",1380.4253412251,9,1,0,16,4,26,0.246452423450719
"410",1381.53172423682,9,1,0,16,3,26,0.246452423450719
"411",1382.54180830724,9,0,0,17,3,26,0.246452423450719
"412",1389.3164997987,8,1,0,17,3,26,0.246452423450719
"413",1392.31229817611,8,0,0,18,3,26,0.246452423450719
"414",1392.80826166435,8,0,0,18,2,26,0.246452423450719
"415",1398.02946464891,8,0,0,18,1,26,0.246452423450719
"416",1411.65495705323,9,0,0,17,1,26,0.246452423450719
"417",1412.19596244548,10,0,0,16,1,26,0.246452423450719
"418",1416.18158612406,11,0,0,15,1,26,0.246452423450719
"419",1417.39631055604,12,0,0,14,1,26,0.246452423450719
"420",1455.08960356405,11,1,0,14,1,26,0.246452423450719
"421",1456.09761869973,11,0,1,14,1,26,0.246452423450719
"422",1457.77124126224,11,0,0,14,2,25,0.249316986390909
"423",1469.24276063645,12,0,0,13,2,25,0.249316986390909
"424",1474.03548631362,11,0,0,13,2,24,0.243373091100087
"425",1481.54577687918,11,0,0,13,1,24,0.243373091100087
"426",1488.89366645752,12,0,0,13,1,25,0.242497601679158
"427",1523.69651374647,11,1,0,13,1,25,0.242497601679158
"428",1530.1319602001,12,1,0,13,1,26,0.248246558282675
"429",1531.41093961356,12,0,0,14,1,26,0.248246558282675
"430",1550.36305715471,13,0,0,13,1,26,0.248246558282675
"431",1554.64159425001,14,0,0,12,1,26,0.248246558282675
"432",1556.86596306133,15,0,0,11,1,26,0.248246558282675
"433",1603.77845518569,14,0,0,11,1,25,0.250475720514729
"434",1614.06618140254,15,0,0,11,1,26,0.255917826393802
"435",1615.34859121475,16,0,0,10,1,26,0.255917826393802
"436",1615.45331207612,16,0,0,9,1,25,0.259161005451715
"437",1625.58276799613,17,0,0,8,1,25,0.259161005451715
"438",1636.38189217308,18,0,0,8,1,26,0.261529187561683
"439",1638.61508460167,19,0,0,7,1,26,0.261529187561683
"440",1670.96414616463,20,0,0,6,1,26,0.261529187561683
"441",1707.8293467067,19,1,0,6,1,26,0.261529187561683
"442",1717.71006190744,19,0,0,7,1,26,0.261529187561683
"443",1719.3022195245,18,1,0,7,1,26,0.261529187561683
"444",1719.46659143433,19,1,0,6,1,26,0.261529187561683
"445",1722.06770692624,18,2,0,6,1,26,0.261529187561683
"446",1724.5596830335,18,1,1,6,1,26,0.261529187561683
"447",1724.72346437464,18,0,1,7,1,26,0.261529187561683
"448",1725.43694662296,18,0,0,7,2,25,0.263130920841076
"449",1725.88174451069,17,0,0,7,2,24,0.257762606152346
"450",1755.3781979276,16,1,0,7,2,24,0.257762606152346
"451",1758.90308886841,16,0,1,7,2,24,0.257762606152346
"452",1760.41968222425,15,1,1,7,2,24,0.257762606152346
"453",1760.86016826025,16,1,1,7,2,25,0.256311536129326
"454",1761.00827339157,17,1,1,6,2,25,0.256311536129326
"455",1761.27399783557,16,2,1,6,2,25,0.256311536129326
"456",1761.60081833185,16,1,1,7,2,25,0.256311536129326
"457",1762.03264392442,16,0,1,8,2,25,0.256311536129326
"458",1766.28565168603,15,1,1,8,2,25,0.256311536129326
"459",1766.91539638426,15,1,0,8,3,24,0.253627277621761
"460",1767.82685627713,15,0,0,9,3,24,0.253627277621761
"461",1773.61549453726,14,1,0,9,3,24,0.253627277621761
"462",1777.29732078143,15,1,0,9,3,25,0.252341620739964
